iter	Passed	Remaining
699	77087	143163
700	77191	143040
701	77295	142919
702	77399	142797
703	77507	142684
704	77628	142594
705	77736	142480
706	77853	142382
707	77962	142271
708	78078	142171
709	78201	142083
710	78311	141973
711	78419	141860
712	78533	141756
713	78643	141647
714	78754	141537
715	78862	141423
716	78965	141300
717	79070	141180
718	79179	141068
719	79291	140963
720	79394	140839
721	79505	140731
722	79613	140616
723	79725	140511
724	79837	140403
725	79949	140296
726	80062	140192
727	80175	140086
728	80285	139975
729	80384	139846
730	80502	139751
731	80608	139632
732	80721	139528
733	80839	139432
734	80949	139321
735	81062	139215
736	81173	139107
737	81300	139025
738	81407	138909
739	81524	138811
740	81630	138695
741	81740	138585
742	81857	138486
743	81960	138363
744	82066	138246
745	82171	138126
746	82290	138032
747	82394	137910
748	82505	137803
749	82624	137707
750	82740	137606
751	82855	137504
752	82958	137382
753	83062	137262
754	83178	137162
755	83296	137064
756	83413	136966
757	83531	136867
758	83640	136756
759	83748	136642
760	83870	136551
761	83970	136425
762	84075	136306
763	84187	136199
764	84302	136096
765	84416	135991
766	84522	135874
767	84628	135758
768	84730	135634
769	84840	135523
770	84942	135400
771	85054	135293
772	85171	135194
773	85277	135077
774	85385	134964
775	85500	134862
776	85613	134755
777	85725	134648
778	85838	134542
779	85946	134428
780	86069	134339
781	86187	134240
782	86298	134132
783	86412	134027
784	86521	133915
785	86623	133793
786	86733	133682
787	86851	133584
788	86958	133469
789	87072	133363
790	87179	133249
791	87288	133136
792	87402	133031
793	87506	132913
794	87616	132802
795	87721	132684
796	87827	132567
797	87938	132458
798	88047	132347
799	88155	132233
800	88266	132124
801	88377	132015
802	88487	131904
803	88599	131797
804	88704	131679
805	88825	131585
806	88938	131478
807	89044	131362
808	89155	131253
809	89267	131145
810	89377	131035
811	89478	130911
812	89587	130800
813	89690	130678
814	89805	130576
815	89914	130464
816	90014	130339
817	90123	130227
818	90228	130109
819	90348	130013
820	90456	129900
821	90562	129784
822	90671	129672
823	90777	129556
824	90887	129445
825	90992	129328
826	91118	129240
827	91218	129116
828	91318	128991
829	91424	128875
830	91543	128777
831	91645	128656
832	91751	128540
833	91879	128454
834	91985	128338
835	92097	128231
836	92218	128135
837	92315	128008
838	92429	127902
839	92531	127781
840	92644	127674
841	92756	127567
842	92864	127454
843	92970	127339
844	93091	127243
845	93194	127123
846	93295	127000
847	93403	126888
848	93517	126782
849	93628	126674
850	93738	126563
851	93841	126444
852	93952	126334
853	94062	126223
854	94172	126113
855	94281	126002
856	94388	125887
857	94500	125780
858	94613	125673
859	94733	125577
860	94844	125468
861	94950	125352
862	95060	125242
863	95170	125131
864	95271	125009
865	95387	124906
866	95501	124801
867	95605	124684
868	95716	124574
869	95817	124453
870	95924	124338
871	96035	124229
872	96150	124126
873	96257	124011
874	96368	123902
875	96470	123781
876	96582	123674
877	96687	123557
878	96789	123436
879	96901	123328
880	97002	123206
881	97125	123113
882	97252	123025
883	97359	122910
884	97483	122817
885	97589	122703
886	97688	122578
887	97801	122472
888	97907	122357
889	98011	122239
890	98117	122123
891	98236	122025
892	98345	121913
893	98449	121794
894	98560	121685
895	98667	121572
896	98776	121460
897	98878	121341
898	98988	121230
899	99088	121108
900	99200	120999
901	99308	120887
902	99424	120785
903	99533	120673
904	99636	120554
905	99760	120461
906	99864	120343
907	99984	120245
908	100096	120138
909	100220	120044
910	100324	119926
911	100458	119845
912	100563	119728
913	100675	119621
914	100783	119508
915	100892	119397
916	100993	119275
917	101117	119182
918	101234	119080
919	101338	118963
920	101453	118857
921	101566	118751
922	101679	118644
923	101794	118539
924	101913	118440
925	102017	118323
926	102131	118216
927	102252	118118
928	102355	118000
929	102482	117910
930	102595	117803
931	102706	117693
932	102816	117583
933	102938	117486
934	103046	117374
935	103145	117250
936	103242	117125
937	103349	117011
938	103452	116893
939	103567	116788
940	103673	116673
941	103794	116576
942	103909	116470
943	104011	116351
944	104126	116247
945	104227	116126
946	104336	116014
947	104448	115907
948	104564	115802
949	104669	115687
950	104775	115572
951	104886	115463
952	104992	115348
953	105091	115225
954	105203	115117
955	105313	115007
956	105429	114903
957	105546	114801
958	105665	114700
959	105768	114582
960	105879	114472
961	105988	114361
962	106097	114250
963	106207	114140
964	106318	114031
965	106424	113916
